,url,label,url_length,has_https,num_subdomains,Special Character Count,Suspicious Keyword Count,domain_age_days,domain_expiry_days,registrar,Unknown Registrar Status,registrar_phishing_score,tld,TLD Phishing Score
0,https://www.icecream.com,0,24,1,1,5,0,11380,308,nom-iq dba com laude,0,1,com,11.66
1,https://proud-lake-5717.kx7hcssq.workers.dev/,1,45,1,2,9,0,-1,-1,unknown,1,-2,dev,7.49
2,https://www.stmusic.at,0,22,1,1,5,0,-1,-1,world4you internet services gmbh ( https://nicat/registrar/61 ),0,-1,at,2.16
3,http://icuwtzw.cloudaccess.host/,1,32,0,1,6,0,4223,524,enom,0,3.84,host,-1
4,http://bcc56.freehostpro.com/,1,29,0,1,6,0,7927,107,enom,0,3.84,com,11.66
5,http://caracasmateriais.blogspot.com/,1,37,0,1,6,0,-1,-1,unknown,1,-2,com,11.66
6,https://beternuipouli.firebaseapp.com/,1,38,1,1,6,0,-1,-1,unknown,1,-2,com,11.66
7,https://www.inkspired.ro,0,24,1,1,5,0,5858,-1,hosterion srl,0,-1,ro,2.72
8,http://httpp-roblox.co/users/272262810/profile,1,46,0,0,8,0,109,255,spaceship,0,206.09,co,7.34
9,http://www.yonseidentist.com/wordpress/jp/,1,42,0,1,8,0,8854,3564,whois,0,-1,com,11.66
10,https://www.forvik.com,0,22,1,1,5,0,6645,293,ionos se,0,2.25,com,11.66
11,http://www.cryptobara.com,1,25,0,1,5,0,1378,82,domainnovations,0,-1,com,11.66
12,https://www.thebestnest.co.nz,0,29,1,2,6,0,6306,-1,hoopla hosting,0,-1,nz,1.07
13,http://www.prepairweekend.nl,1,28,0,1,5,0,4655,-1,zxcs,0,-1,nl,0.59
14,https://membereg.com/outlook/en-us/microsoft-365/outlook/log-in.html,1,68,1,0,13,0,83,281,namecheap,0,20.63,com,11.66
15,https://www.uspsmailjourney.com/uspsmailjourney.com/%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%82%C3%83%C2%83%C3%82%C2%82%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%83%C3%83%C2%82%C3%82%C2%83%C3%83%C2%83%C3%82%C2%82%EF%BF%BD,1,2053,1,1,675,0,2633,288,amazon registrar,0,4.29,com,11.66
16,http://www.duniadekho.bar,1,25,0,1,5,0,784,310,gandi sas,0,3.84,bar,100.57
17,https://www.theinsightpartners.com,0,34,1,1,5,0,4032,2542,godaddycom,0,2.48,com,11.66
18,https://www.rudidias.com.br,0,27,1,2,6,0,4081,301,unknown,1,-2,br,1.97
19,https://www.roblox.com.bn/games/17625359962/RIVALS?privateServerLinkCode=32521013251177191579040166837938&game_id=17625359962&game_name=RIVALS,1,142,1,2,15,0,618,111,imagine sdn bhd,0,-1,bn,-1
20,http://www.poppingx.com,1,23,0,1,5,0,2580,341,godaddycom,0,2.48,com,11.66
21,https://www.vortex86.com,0,24,1,1,5,0,8820,1041,net-chinese co,0,-1,com,11.66
22,https://www.pekao.com.pl,0,24,1,2,6,0,10782,1264,ovh sas,0,1.82,pl,3.2
23,https://www.jamuna.tv,0,21,1,1,5,0,4328,1150,namecheap,0,20.63,tv,3.69
24,http://www.partiesandprettythings.com,1,37,0,1,5,0,2157,33,godaddycom,0,2.48,com,11.66
25,https://www.amazon.ie/ap/signin?openid.pape.max_auth_age=1209600&openid.return_to=https%3A%2F%2Fwww.amazon.ie%2Fcheckout%2Fp%2Fp-404-5633797-9446727%2Fpip%2F&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=amazon_checkout_ie&openid.mode=checkid_setup&language=en_IE&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,1,450,1,1,70,1,9653,258,com laude,0,-1,ie,1.12
26,http://www.redcrossco.com,1,25,0,1,5,0,83,281,gmo internet,0,-1,com,11.66
27,http://www.1guag8v6zsne21myf9hdwm7r95.net,1,41,0,1,5,0,2779,142,verisign security and stability,0,-1,net,10.75
28,https://www.tombraiderforums.com,0,32,1,1,5,0,9420,75,dnc holdings,0,3.02,com,11.66
29,https://www.wincert.net,0,23,1,1,5,0,7393,2468,dynadot,0,74.77,net,10.75
30,http://www.mail.cozyreview.com,1,30,0,2,6,0,412,-48,hostinger operations uab,0,10.84,com,11.66
31,https://www.charityengine.com,0,29,1,1,5,0,7301,1234,enom,0,3.84,com,11.66
32,https://dev-pagina-principal-itauweb-24hrs.pantheonsite.io/ita/index.html,1,73,1,1,12,0,-1,-1,unknown,1,-2,io,9.86
33,https://www.mishtann.com,0,24,1,1,5,0,4215,167,pdr d/b/a publicdomainregistrycom,0,29.32,com,11.66
34,https://doc345469fx569m-1310252903.cos.na-siliconvalley.myqcloud.com/apps.htm,1,77,1,3,11,0,4830,2839,markmonitor information technology (shanghai) co,0,-1,com,11.66
35,https://www.idonate.com,0,23,1,1,5,1,8590,175,namecheap,0,20.63,com,11.66
36,http://www.mel.cloudcontentsmak.com,1,35,0,2,6,0,2920,1,ionos se,0,2.25,com,11.66
37,https://www.schwabcharitable.org,0,32,1,1,5,0,9813,48,markmonitor,0,3.55,org,8.4
38,https://www.doravillega.us,0,26,1,1,5,0,8483,281,godaddycom,0,2.48,us,9.95
39,https://www.donationcoder.com,0,29,1,1,5,0,8084,315,wild west domains,0,3.45,com,11.66
40,http://pancakeswap.yahoosites.com,1,33,0,1,5,0,7405,264,markmonitor,0,3.55,com,11.66
