url,label
http://httpp-roblox.co/users/272262810/profile,1.0
https://membereg.com/outlook/en-us/microsoft-365/outlook/log-in.html,1.0
http://www.redcrossco.com,1.0
http://www.urbannft.xyz,1.0
https://icloudoficial.com/?i=JiZQC,1.0
http://j71a.vip/,1.0
http://kasdadfd.com/,1.0
http://galabet88.net/,1.0
https://ipfs.litnet.work/ipfs/bafybeies2uc2v5pas5ingrrcrv7nn6ptzoim6ngihnxijrsou42h6al5cu//sve.html,1.0
http://rwen1.yianboa9nhiha5.com/,1.0
http://www.wwwelectrum.org,1.0
https://auth3usngwd0c65bdrvsharepoint.capitolelectrics.com/,1.0
http://auth2usngwd0c88bdrvsharepoint.wardhealthpa.com/,1.0
http://galabetbonus.com/,1.0
http://www.onedrivebusiness.com,1.0
https://tatahrsupport.com/?rid=6306292&key=1F3I8S,1.0
http://m.annasinai.com/,1.0
https://drnissan57.com/greenvalleyvet.net,1.0
http://j65h.vip/,1.0
https://ipfs.litnet.work/ipfs/bafybeiekbq3txwvwxof34ls4zwxh7okpxj5x4k3laufqqfjdo7qfr7zx6e,1.0
http://www.support-google.ru,1.0
http://galabet38.net/,1.0
http://schedulecallwithqbcare.com/,1.0
http://www.6py.xyz,1.0
https://icloudoficial.com/expire/?5,1.0
http://j70j.vip/,1.0
http://www.nicegames4u.com,1.0
http://www.proxyscope.com,1.0
http://www.chinaplandexpo.com,1.0
http://www.snsagro.in,1.0
http://reliefequipments.com/sg,1.0
http://www.greenvideo.nl,1.0
http://www.hellacademy.com,1.0
http://great-bet365.com.cn/,1.0
http://www.mnzhibo.com,1.0
http://galabetenvivo.com/,1.0
https://www.codefol.io,0.0
http://www.standardcertifications.com,1.0
http://www.boosting.online,1.0
http://trustwallet.org.cn/,1.0
